po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin
23350,7228918695,12/12/2021,720,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,5,,10.0261832v2,10,0,2,3,,2022-01-04,,,,60,,,0.0,0.0,1.91,0.0,0.0
23409,7206692764,12/9/2021,135,0.0,Distributor,New Business,,Closed and Won,,,,1,High Res Preview,40.0268455v1,40,0,18,3,,2022-02-08,,,,12,,,0.0,0.0,2.49,0.0,0.0
23431,7268646927,12/16/2021,22500,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248287v1,10,0,2,1,,2022-01-07,,,,1875,,,0.0,0.0,1.56,0.0,0.0
23510,7305533188,12/21/2021,60,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0216936v1,10,0,2,1,,2022-01-14,,,,5,,,0.0,0.0,2.56,0.0,0.0
23539,7316547975,12/22/2021,1200,0.0,Distributor,Existing Business,,Closed and Won,Portal Order,,,2,,10.0233487v3,10,0,2,1,,2022-01-14,,,,100,,,0.0,0.0,1.71,0.0,0.0
23564,7317836182,12/22/2021,60,0.0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0269474v2,10,0,2,1,,2022-01-05,,,,5,,,0.0,0.0,2.56,0.0,0.0
23567,7320083585,12/22/2021,120,0.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,5,,10.0220106v1,10,0,2,3,,2022-01-04,,,,10,,,0.0,0.0,2.58,0.0,0.0
23586,7153600864,12/6/2021,1500,0.0,Distributor,Existing Business,,Closed and Won,,,,4,Low ,40.0268755v1,40,0,18,3,,2022-01-04,,,,125,,,0.0,0.0,1.99,0.0,0.0
23591,7348073348,12/27/2021,100,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,4,,10.0213956v6,10,0,2,1,,2022-01-05,,,,9,,,0.0,0.0,2.56,0.0,0.0
23610,7360230708,12/28/2021,1000,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0286008v2,10,0,2,3,,2022-03-29,,,,84,,,0.0,0.0,2.41,0.0,0.0
23612,7359938656,12/28/2021,60,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0243490v1,10,0,2,3,,2022-01-03,,,,5,,,0.0,0.0,3.66,0.0,0.0
23615,6929865333,11/15/2021,240,0.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,5,Not Rated,14.0664724v3,14,0,6,3,,2022-01-06,,,,20,,,0.0,0.0,1.45,0.0,0.0
23616,7359574954,12/28/2021,420,0.0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0268515v1,10,0,2,1,,2022-01-04,,,,35,,,0.0,0.0,1.96,0.0,0.0
23628,7366207144,12/29/2021,60,0.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,10.0233252v1,10,0,2,3,,2022-01-03,,,,5,,,0.0,0.0,3.66,0.0,0.0
23632,7214232645,12/10/2021,250,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Medium ,10.0268422v1,10,0,2,1,,2022-01-06,,,,21,,,0.0,0.0,1.96,0.0,0.0
23635,7251292225,12/14/2021,1200,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,10.0268883v1,10,0,2,1,,2022-01-10,,,,100,,,0.0,0.0,1.88,0.0,0.0
23637,7373266280,12/30/2021,60,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0244900v1,10,0,2,3,,2022-01-03,,,,5,,,0.0,0.0,3.66,0.0,0.0
23638,7373472010,12/30/2021,80,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0367285v1,10,0,2,4,,2022-01-03,,,,7,,,0.0,0.0,2.58,0.0,0.0
23639,7374493346,12/30/2021,720,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0242507v1,10,0,2,1,,2022-01-05,,,,60,,,0.0,0.0,1.79,0.0,0.0
23640,7349101418,12/27/2021,60,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0355894v1,10,0,2,3,,2022-01-03,,,,5,,,0.0,0.0,3.66,0.0,0.0
23641,7374482177,12/30/2021,720,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0242505v1,10,0,2,1,,2022-01-05,,,,60,,,0.0,0.0,1.79,0.0,0.0
23642,7375458432,12/30/2021,720,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,4,,10.0242508v1,10,0,2,1,,2022-01-05,,,,60,,,0.0,0.0,1.79,0.0,0.0
23643,7260159384,12/15/2021,120,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,High Res Preview,10.0268970v2,10,0,2,1,,2022-01-04,,,,10,,,0.0,0.0,2.23,0.0,0.0
23644,7375436172,12/30/2021,500,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,4,,10.0258859v2,10,0,2,1,,2022-01-05,,,,42,,,0.0,0.0,1.96,0.0,0.0
23646,6877319352,11/8/2021,60,0.0,Distributor,Existing Business,,Closed and Won,Sample Request,,,1,High Res Preview,40.0269789v1,40,0,18,3,,2022-01-01,,,,5,,,0.0,0.0,3.74,0.0,0.0
23647,7374492534,12/30/2021,60,0.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0225551v1,10,0,2,1,,2022-01-05,,,,5,,,0.0,0.0,2.56,0.0,0.0
23648,6901251188,11/11/2021,130,0.0,Distributor,New Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0264394v2,10,0,2,3,,2022-01-03,,,,11,,,0.0,0.0,2.58,0.0,0.0
23649,6774450743,10/28/2021,500,0.0,Wholesale,New Business,,Closed and Won,,,Client Referral,4,Low ,10.0269321v1,10,0,2,1,,2022-01-03,,,,42,,,0.0,0.0,1.96,0.0,0.0
23650,7401612331,1/3/2022,255,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.0270019v1,10,0,2,1,,2022-01-03,,,,22,,,0.0,0.0,1.96,0.0,0.0
23651,7358982550,12/28/2021,60,0.0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0269859v3,10,0,2,3,,2022-01-03,,,,5,,,0.0,0.0,3.66,0.0,0.0
23653,7401647032,1/3/2022,245,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0346079v1,10,0,2,1,,2022-01-03,,,,21,,,0.0,0.0,2.23,0.0,0.0
23654,7404278933,1/3/2022,240,0.0,Distributor,Existing Business,,Closed and Won,,,,3,,10.0258859v2,10,0,2,2,,2022-01-07,,,,20,,,0.0,0.0,1.86,0.0,0.0
23655,7205565285,12/9/2021,250,0.0,Distributor,Existing Business,,Closed and Won,Intake 2.0 Edward,,,2,High Res Preview,40.0268697v1,40,0,18,1,,2022-01-03,,,,21,,,0.0,0.0,1.96,0.0,0.0
23656,7402030775,1/3/2022,60,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0243490v1,10,0,2,3,,2022-01-03,,,,5,,,0.0,0.0,3.66,0.0,0.0
23657,7404066576,1/3/2022,240,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.0230442v1,10,0,2,4,,2022-01-03,,,,20,,,0.0,0.0,2.41,0.0,0.0
23658,7277942125,12/17/2021,120,0.0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,2,Low ,10.0269418v1,10,0,2,1,,2022-01-03,,,,10,,,0.0,0.0,2.23,0.0,0.0
23659,7404304680,1/3/2022,100,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,,10.0235654v6,10,0,2,3,,2022-01-03,,,,9,,,0.0,0.0,3.58,0.0,0.0
23660,7404688437,1/3/2022,120,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0219958v2,10,0,2,1,,2022-01-05,,,,10,,,0.0,0.0,2.23,0.0,0.0
23661,7372789840,12/30/2021,114,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.0270089v1,10,0,2,3,,2022-01-04,,,,10,,,0.0,0.0,2.58,0.0,0.0
23662,7372291164,12/30/2021,100,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,10.0270093v1,10,0,2,3,,2022-01-04,,,,9,,,0.0,0.0,3.58,0.0,0.0
23663,6911101084,11/12/2021,200,0.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.0263906v2,10,0,2,1,,2022-01-04,,,,17,,,0.0,0.0,1.96,0.0,0.0
23664,7405816473,1/3/2022,60,0.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0367285v1,10,0,2,4,,2022-01-04,,,,5,,,0.0,0.0,2.58,0.0,0.0
23665,7405329036,1/3/2022,304,0.0,Distributor,Existing Business,,Closed and Won,,,,2,Not Rated,10.0270122v1,10,0,2,1,,2022-01-04,,,,26,,,0.0,0.0,1.96,0.0,0.0
23666,7411371306,1/4/2022,120,0.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0231138v1,10,0,2,1,,2022-01-04,,,,10,,,0.0,0.0,2.23,0.0,0.0
23667,7266931795,12/16/2021,8450,0.0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0269791v2,10,0,2,3,,2022-01-11,,,,705,,,0.0,0.0,1.62,0.0,0.0
